BIL,NEGERI,NAMA SYARIKAT,ALAMAT TETAP (SURAT MENYURAT),ALAMAT TEMPAT BERNIAGA,NO.TELEFON BIMBIT / EMEL,TARIKH SIJIL PENGIKTIRAFAN BESS,TARIKH TAMAT PENGIKTIRAFAN BESS,NO. SIRI BESS
3360,PERAK,NUR SHAHILA ENTERPRISE,"NO.62, KAMPUNG KUBANG PEKAN HILIR,
KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK","NO. 17, KAWASAN REHAT & RAWAT SUNGAI
PERAK ARAH SELATAN, KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK",6014-2447126,01/07/2025,30/06/2028,BeA0525011-0/1
3361,PERAK,COLUMBIA ASIA SDN BHD,"662A, JALAN AIR KUNING, CHANGKAT JERING,
TAIPING, 34850 LARUT, MATANG DAN SELAMA, PERAK","COLUMBIA ASIA HOSPITAL TAIPING, NO.5,
JALAN PERWIRA, TAIPING, 34000 LARUT, MATANG DAN SELAMA, PERAK",rajaadla.afandi@c olumbiaasia.com,01/07/2025,30/06/2028,BeA06180010-2/1
3362,PERAK,ROBIAH BINTI ABD KARIM,"NO.4, KAMPUNG BENTENG, KUALA KENAS, KUALA KANGSAR, 33000 KUALA KANGSAR,
PERAK","NO.18, GERAI BUAH-BUAHAN, R & R ARAH SELATAN, KUALA KANGSAR, 33000 KUALA
KANGSAR, PERAK",6017-5919780,01/07/2025,30/06/2028,BeA0425020-0/1
3363,PERAK,FAZLIYATON BINTI HISHAMUDIN,"BATU 19, KAMPUNG KUALA DAL, PADANG RENGAS, KUALA KANGSAR, 33700 KUALA
KANGSAR, PERAK","NO.16, GERAI BUAH R&R SG.PERAK (S), KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK",6013-5280647,01/07/2025,30/06/2028,BeA0625013-0/1
3364,PERAK,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING,
SELANGOR","NO.33 (GROUND FLOOR), JALAN SUSUR SIMPANG, SIMPANG, 34700 LARUT, MATANG
DAN SELAMA, PERAK",6019-3229033,01/07/2025,30/06/2028,BeA0525058-0/1
3365,PERAK,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING,
SELANGOR","51, JALAN MEDAN SAUJANA, MEDAN SAUJANA, KAMUNTING, 34600 LARUT,
MATANG DAN SELAMA, PERAK",6012-4691629,01/07/2025,30/06/2028,BeA0225012-0/1
3366,PERAK,MUHAMMAD ASLI BIN JAB,"KG MENORA, KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK","NO.14, GERAI BUAH R&R SG.PERAK (S), KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK",6019-7796059,01/07/2025,30/06/2028,BeA0921055-1/1
3367,PERAK,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING,
SELANGOR","NO.25, PERSIARAN SIBC 2, SERI ISKANDAR BUSINESS CENTRE, SERI ISKANDAR, 32610
PERAK TENGAH, PERAK",6017-3021215,01/07/2025,30/06/2028,BeA0225024-0/1
3368,PERAK,KAMYLIOS KAMAL ENTERPRISE,"NO 19, DATARAN PULAI JAYA 5, KAMPUNG KEPAYANG 31300 PERAK, KAMPUNG
KEPAYANG, 31300 KINTA, PERAK","NO. 23, R&R SUNGAI PERAK, LEBUHRAYA UTARA/SELATAN, KUALA KANGSAR, 33000
KUALA KANGSAR, PERAK",nurrulkamaliah@g mail.com,01/07/2025,30/06/2028,BeA0525010-0/1
3369,PERAK,MENORA TUJUH ENTERPRISE,"NO 54, KAMPUNG RAMBAI TUJUH, KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK","NO.19, GERAI BUAH-BUAHAN, ARAH UTARA
LEBUHRAYA (U), 33000 KUALA KANGSAR, PERAK",6019-4624862,01/07/2025,30/06/2028,BeA0425021-0/1
3370,PERAK,ROKIAH BINTI MAT ISA,"NO. 203, KAMPUNG RAMBAI TUJUH, KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK","NO 27 R&R SUNGAI PERAK, SELATAN PLUS, KUALA KANGSAR, KUALA KANGSAR, 33000
KUALA KANGSAR, PERAK",6016-4783704,01/07/2025,30/06/2028,BeA0921028-1/1
3371,PERAK,JAYA WOK (M) SDN BHD,"NO.13, JALAN SETIAPERDANA U13/27L, SETIA ALAM SEKSYEN U13, 40170 SHAH ALAM, SELANGOR, SHAH ALAM, 40170 PETALING,
SELANGOR","HOT PLATE, (RNR SUNGAI PERAK), LEBUHRAYA UTARA/SELATAN, 33000 KUALA KANGSAR, PERAK",6012-2139912,01/07/2025,30/06/2028,BeA0823019-0/1
3372,PERAK,RAY ILHAM TRADING,"47, LEBUH BUKIT KECIL 2, TAMAN SRI NIBONG,
SG NIBONG, BAYAN LEPAS, 11900 BARAT DAYA, PULAU PINANG","KAFETERIA HOSPITAL TAIPING, JALAN TAMING
SARI, TAIPING, 34000 LARUT, MATANG DAN SELAMA, PERAK",6012-5119786,01/07/2025,30/06/2028,BeA1224019-0/1
3373,PERAK,FWL ENTERPRISE,"NO 877, KAMPUNG KUBANG PEKAN HILIR, KUALA KANGSAR, 33000 KUALA KANGSAR,
PERAK","NO 18, RNR SG PERAK, ARAH UTARA, KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK",6016-5534797,28/05/2025,27/05/2028,BeA0525019-0/1
3374,PERAK,ADIM MAJU ENTERPRISE,"NO.118, KAMPUNG RAMBAI TUJUH, KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK","NO.6, GERAI MINUMAN, R&R SG.PERAK (S), KUALA KANGSAR, 33000 KUALA KANGSAR,
PERAK",6019-4659141,28/05/2025,27/05/2028,BeA0421008-1/1
3375,PERAK,HURUL AINI BINTI MAT ASIN,"NO.3, JALAN TOK MEGAT KAMPUNG MENORA, KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK","NO.4 DATARAN SG PERAK, LEBUHRAYA UTARA SELATAN, KUALA KANGSAR PERAK, KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK",6014-2449759,28/05/2025,27/05/2028,BeA0325005-0/1
3376,PERAK,SERIFAH ENTERPRISE,"NO.109, KAMPUNG KUBANG PEKAN, KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK","GERAI NO.17 (GERAI BUAH), KAWASAN REHAT & RAWAT SUNGAINPERAK ARAH UTARA, KUALA KANGSAR, 33000 KUALA KANGSAR,
PERAK",6014-6834410,28/05/2025,27/05/2028,BeA0921031-1/1
3377,PERAK,DAPUR MASAKAN MAMA KITE,"NO.20, SOLOK SRI AMPANG 4, KAMPUNG SERI AMPANG 'A', IPOH, 31350 KINTA, PERAK","NO S 10, LEBUHRAYA UTARA SELATAN, KUALA
KANGSAR, KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK",6012-5741444,28/05/2025,27/05/2028,BeA0525018-0/1
3378,PERAK,GERAK KE TIMUR ENTERPRISE,"NO 110, KAMPUNG, KUBANG PEKAN, KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK","NO.15, KM 119 ARAH UTARA, DATARAN SUNGAI PERAK, KUALA KANGSAR, 33000
KUALA KANGSAR, PERAK",6010-3616034,28/05/2025,27/05/2028,BeA0325004-0/1
3379,PERAK,KARYA MUDA ENTERPRISE,"NO.80, SIMPANG TIGA TALANG, KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK","KIOSK NO 22 HENTIAN RNR SUNGAI PERAK (U),33000 KUALA KANGSAR PERAK, 33000
KUALA KANGSAR, PERAK",6019-5136404,28/05/2025,27/05/2028,BeA0525020-0/1
3380,PERAK,MARGFIRAH,"NO 21,JALAN PAKATAN JAYA 19, TAMAN PAKATAN JAYA, ULU KINTA, 31150 KINTA,
PERAK","NO.11 KAWASAN REHAT DAN RAWAT SUNGAI PERAK ARAH UTARA, KUALA KANGSAR, 33000
KUALA KANGSAR, PERAK",6013-5130855,28/05/2025,27/05/2028,BeA09180005-2/1
3381,PERAK,RITS CAKES & COOKIES,"GERAI NO 9 RITS CAKES &COOKIES R&R SUNGAI PERAK ARAH SELATAN KUALA KANGSAR PERAK, KUALA KANGSAR, 33000
KUALA KANGSAR, PERAK","NO 9, KAWASAN REHAT DAN RAWAT SG.PERAK ARAH SELATAN, 33020 SUNGAI PERAK, PERAK., KUALA KANGSAR, 30020
KUALA KANGSAR, PERAK",6018-3805744,28/05/2025,27/05/2028,BeA0921017-1/1
3382,PERAK,D ALYA KITCHEN,"NO 47,LOT 1 KAMPUNG JELAPANG JAYA
SIMPANG, TAIPING, 34700 LARUT, MATANG DAN SELAMA, PERAK","NO.13, R&R SUNGAI PERAK, LEBUHRAYA
UTARA/SELATAN, KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK",6014-3044594,28/05/2025,27/05/2028,BeA0525021-0/1
3383,PERAK,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING,
SELANGOR","NO 8 (GROUND FLOOR), LORONG LAGENDA 8 MEDANIAGA LAGENDA, HUTAN MELINTANG,
36400 BAGAN DATUK, PERAK",6017-3021215,28/05/2025,27/05/2028,BeA0225045-0/1
3384,PERAK,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING,
SELANGOR","NO 4D (GROUND FLOOR), JALAN RAJA CHULAN, 33000 KUALA KANGSAR, PERAK",6017-3021215,28/05/2025,27/05/2028,BeA0225020-0/1
3385,PERAK,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1
GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","NO 12, GROUND FLOOR, PERSIARAN PESONA
1, MEDAN PESONA, SUNGAI SIPUT, 31100 KUALA KANGSAR, PERAK",6017-3021215,28/05/2025,27/05/2028,BeA0225033-0/1
3386,PERAK,MADINATUL ILMI ENTER,TIADA MAKLUMAT,"NO.5, R&R SUNGAI PERAK ARAH SELATAN, KUALA KANGSAR, 33000 KUALA KANGSAR,
PERAK",6019-4211150,28/05/2025,27/05/2028,BeA0225007-0/1
3387,PERAK,COYAMI SDN BHD,"33, JALAN BK 8/2, BANDAR KINRARA, PUCHONG, 47801 PETALING, SELANGOR","3 BAWAH, TAMAN SERI CHANGKAT JONG, JALAN CHANGKAT JONG, 36000 HILIR PERAK,
PERAK",6012-6301330,28/05/2025,27/05/2028,BeA0325012-0/1
3388,PERAK,SALEMA ENTERPRISE,"NO.9, JALAN CARAVELL, TAMAN LAPANGAN TERBANG, IPOH, 31350 KINTA, PERAK","NO.1, KAWASAN R&R ARAH SELATAN, SUNGAI
PERAK, KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK",6014-9003147,28/05/2025,27/05/2028,BeA0425003-0/1
3389,PERAK,MUMMY NURINS ENTERPRISE,"12K, JALAN BAHARUDDIN, KAMPUNG BARU SENGGANG, KUALA KANGSAR, 33000 KUALA
KANGSAR, PERAK","NO. 7, RNR SUNGAI PERAK ARAH UTARA, LEBUHRAYA PLUS, KUALA KANGSAR, 33000
KUALA KANGSAR, PERAK",6017-5038001,28/05/2025,27/05/2028,BeA0525016-0/1
3390,PERAK,ISMA CAFE,"BATU 34, JALAN TAIPING, KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK","NO 3, HENTIAN REHAT DAN RAWAT, SUNGAI
PERAK ARAH SELATAN, 33000 KUALA KANGSAR, PERAK",6019-5998567,28/05/2025,27/05/2028,BeA0325002-0/1
3391,PERAK,JUHAINI ENTERPRISE,"NO19A KAMPUNG KUBANG PEKAN, KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK","NO 14, GERAI BUAH-BUAHAN, KAWASAN REHAT & RAWAT SUNGAI PERAK ARAH UTARA, KUALA KANGSAR, 33000 KUALA KANGSAR,
PERAK",6013-4920194,28/05/2025,27/05/2028,BeA0325008-0/1
3392,PERAK,RESTORAN BINTANG SELERA,"D-B1-02 BLOK DAMAI, D'AMAN CRIMSON,
JALAN PJU 1A/41 ARA JAYA, PETALING JAYA, 47301 PETALING, SELANGOR","FC 3, LOTUS'S MANJUNG, JALAN LUMUT, MANJUNG, 32000 MANJUNG, PERAK",6012-2857682,28/05/2025,27/05/2028,BeA0422022-0/1
3393,PERAK,KADIR PASEMBOR,"NO. 47 GRD FLOOR, LEBUH BUKIT KECIL 2,
TAMAN SRI NIBONG, BAYAN LEPAS, 11900 BARAT DAYA, PULAU PINANG","FC1 LOTUS'S MANJUNG, NO. 103 JALAN
LUMUT SITIAWAN, SITIAWAN, 32000 MANJUNG, PERAK",6019-4567786,28/05/2025,27/05/2028,BeA0422031-0/1
3394,PERAK,RNF VENTURE,"NO.13, JALAN SRI KLEBANG 16, BANDAR BARU SRI KLEBANG, CHEMOR, 31200 KINTA, PERAK","NO.3, KAWASAN REHAT & RAWAT SUNGAI PERAK (ARAH UTARA), PROJEK LEBUHRAYA UTARA-SELATAN (PLUS), KUALA KANGSAR,
33000 KUALA KANGSAR, PERAK",6012-5021912,28/05/2025,27/05/2028,BeA0921006-1/1
3395,PERAK,AZRUL AFFANDY ENTERPRISE,"NO.50, JALAN PASIR PANDAK BATU 8 LEKIR, SITIAWAN, 32200 MANJUNG, PERAK","GERAI MINUMAN DATARAN BIRU, INSTITUT KEMAHIRAN MARA LUMUT, JALAN DATO' SERI KAMARUDDIN, SERI MANJUNG, 32040
MANJUNG, PERAK",azrulaffandy8283 @gmail.com,28/05/2025,27/05/2028,BeA1024022-0/1
3396,PERAK,BERJAYA KRISPY KREME DOUGHNUTS SDN BHD,"BERJAYA KRISPY KREME DOUGHNUT SDN. BHD, LOT 07-33, LEVEL 7 (WEST WING), BERJAYA TIMES SQUARE, NO 1 JALAN IMBI, KUALA LUMPUR, 55100 LEMBAH PANTAI,
WILAYAH PERSEKUTUAN KUALA LUMPUR","LOT KG1, GROUND FLOOR, AEON SERI MANJUNG SHOPPING CENTRE, PUSAT PERNIAGAAN MANJUNG POINT 3, SERI MANJUNG, 32040 MANJUNG, PERAK",6019-3168403,28/05/2025,27/05/2028,BeA0724012-0/1
3397,PERAK,MD IZZAT ENTERPRISE,"NO.1 PERSIARAN PENGKALAN TIMUR 23, DESA
PENGKALAN INDAH, KINTA, IPOH, 31650, PERAK","1062D BAWAH, JALAN SEKOLAH, TELUK
INTAN, TELUK INTAN, 36000 HILIR PERAK, PERAK",6018-9447753,28/05/2025,27/05/2028,BeA0224014-0/1
3398,PERAK,NORIZAN BINTI HARON,"15630, LORONG HJ RAFFAR 1, KAMPUNG MELAYU SG RAPAT, IPOH, 31350 KINTA, PERAK","GERAI NO.8, LEBUH RAYA UTARA-SELATAN, KAWASAN REHAT & RAWAT SUNGAI PERAK ARAH (U), KUALA KANGSAR, 33000 KUALA
KANGSAR, PERAK",6012-5656989,28/05/2025,27/05/2028,BeA0921026-1/1
3399,PERAK,D' HAS CORNER,"NO. 2, KAWASAN REHAT & RAWAT, ARAH UTARA PLUS, TAPAH, 35000 BATANG PADANG,
PERAK","NO.2 KAW REHAT & RAWAT, ARAHUTARA PLUS, TAPAH, 35000 BATANG PADANG, PERAK",6014-6023823,28/05/2025,27/05/2028,BeA1021003-1/1
3400,PERAK,HAZRIL BIN DIN,"54A JALAN BALAM KAMPUNG PENGKALAN
PEGOH TAMBAHAN II, LAHAT, 31500 KINTA, PERAK","GERAI NO.9 KAWASAN REHAT DAN RAWAT
SUNGAI PERAK ARAH UTARA, PLUS, KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK",6012-5933234,28/05/2025,27/05/2028,BeA0921024-1/1
3401,PERAK,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING,
SELANGOR","NO.53A, TAPAH, 35000 BATANG PADANG, PERAK",6017-3021215,27/05/2025,26/05/2028,BeA0225040-0/1
3402,PERAK,SELERA PAKWER,"LOT 4190, BATU 11, KAMPUNG PAUH, TAIPING, 34850 LARUT, MATANG DAN
SELAMA, PERAK","NO.5, R & R DATARAN SUNGAI PERAK ARAH UTARA, KUALA KANGSAR, 33000 KUALA
KANGSAR, PERAK",6019-4187217,27/05/2025,26/05/2028,BeA0525003-0/1
3403,PERAK,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1
GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","NO. 8 JALAN PERSATUAN, BIDOR, 35500 BATANG PADANG, PERAK",6017-3021215,27/05/2025,26/05/2028,BeA0225049-0/1
3404,PERAK,SAMIN RIA ENTERPRISE,"LOT 31, KAMPUNG PAYA LINTAH, PADANG RENGAS, 33700 KUALA KANGSAR, PERAK","GERAI NO.4, HENTIAN DAN RAWAT SUNGAI PERAK ARAH SELATAN, KUALA KANGSAR,
33000 KUALA KANGSAR, PERAK",6013-5133030,27/05/2025,26/05/2028,BeA0525012-0/1
3405,PERAK,"SMALL WOODEN HOUSE
CAFE","NO 16, JALAN BESAR, TAPAH, 35000 BATANG
PADANG, PERAK","NO 16, JALAN BESAR, TAPAH, 35000 BATANG
PADANG, PERAK",6016-5972078,27/05/2025,26/05/2028,BeA0225001-0/1
3406,PERAK,RS TERUS GIGIH ENTERPRISE,"NO.70, BLOK E, RANCANGAN PERUMAHAN
AWAM 5, JALAN ISKANDAR SHAH, KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK","GERAI 16, DATARAN SUNGAI PERAK, ARAH
UTARA, KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK",6012-4006801,27/05/2025,26/05/2028,BeA0525015-0/1
3407,PERAK,SES ENTERPRISE,"NO. 1 JALAN SRI KINTA II, KAMPUNG SRI KINTA, IPOH, 31650 KINTA, PERAK","NO. 8,GERAI MAKANAN KAWASAN REHAT DAN RAWAT SUNGAI PERAK ARAH SELATAN, KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK",6019-5985290,27/05/2025,26/05/2028,BeA0525013-0/1
3408,PERAK,IMAN D ZY ENTERPRISE,"NO.43, SRI KLEBANG D/2, BANDAR BARU SRI KLEBANG, CHEMOR, 31200 KINTA, PERAK","GERAI NO.10, R&R SG PERAK ARAH SELATAN,
KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK",6012-5062964,27/05/2025,26/05/2028,BeA0525001-0/1
3409,PERAK,MD ISA BIN MOHMUD,"29, KAMPUNG SUNGAI PETAI, BUKIT GANTANG, CHANGKAT JERING, TAIPING, 34850, PERAK","4S, HENTIAN SEBELAH BUKIT GANTANG ARAH SELATAN, LEBUHRAYA PLUS, CHANGKAT JERING, TAIPING, 34850 LARUT, MATANG DAN
SELAMA, PERAK",6017-5073221,27/05/2025,26/05/2028,BeA0425025-0/1
3410,PERAK,GRAND KAMPAR HOTEL SDN BHD,"2188, JALAN TIMAH, BANDAR BARU KAMPAR, KAMPAR, 31900 GOPENG & KAMPAR, PERAK","2188, JALAN TIMAH, BANDAR BARU KAMPAR, KAMPAR, 31900 GOPENG & KAMPAR, PERAK",6017-5227542,27/05/2025,26/05/2028,BeA1224014-0/1
3411,PERAK,SUE YAHAYA ENTERPRISE,"NO.49, KAMPUNG BONGGOL NERING, CHANGKAT JERING, 34850, PERAK","NO 13, RNR BUKIT GANTANG SELATAN, CHANGKAT JERING, 34850 LARUT, MATANG
DAN SELAMA, PERAK",6017-9418387,27/05/2025,26/05/2028,BeA0921022-1/1
3412,PERAK,KOPITIAM ASIA PACIFIC SDN BHD,"LOT 896, JALAN SUBANG 10, TAMAN PERINDUSTRIAN SUBANG, SUBANG JAYA,
47600 PETALING, SELANGOR","NO 15A, PERSIARAN BATU GAJAH PERDANA 1, TAMAN BATU GAJAH PERDANA, BATU GAJAH,
31550 KINTA, PERAK",6016-5266848,27/05/2025,26/05/2028,BeA0124027-0/1
3413,PERAK,"PALOH MEDICAL
CENTRE SDN. BHD.","126, JALAN TAMBUN, TAMAN IPOH, IPOH,
31400 KINTA, PERAK","126, JALAN TAMBUN, JALAN TAMBUN, TAMAN
IPOH, IPOH, 31400 KINTA, PERAK",6012-5192569,08/05/2025,07/05/2028,BeA0125009-0/1
3414,PERAK,MILESTONE FIDELITY SDN BHD,"NO. 31, JALAN LIM BENG CHEW, IPOH, 30250 KINTA, PERAK","LOT 13 GF, IPOH GARDEN SQUARE, JALAN
SULTAN AZLAN SHAH UTARA, TAMAN IPOH SELATAN, IPOH, 31400 KINTA, PERAK",6019-5606627,08/05/2025,07/05/2028,BeA1121002-1/1
3415,PERAK,ALNUR ENTERPRISE,"LOT 99, KAMPUNG PAYA,JALAN KUALA KANGSAR, CHANGKAT JERING, TAIPING, 34850 LARUT, MATANG DAN SELAMA, PERAK","GERAI NO. 11-S, HENTIAN L/R BUKIT GANTANG SELATAN, CHANGKAT JERING, TAIPING, 34850 LARUT, MATANG DAN SELAMA, PERAK",6013-5102014,08/05/2025,07/05/2028,BeA0921014-1/1
3416,PERAK,GB CURRY BUN SDN BHD,"BLOK A, G-6 SOHO IPOH, JALAN SULTAN ISKANDAR SHAH, IPOH, 30000 KINTA, PERAK","NO.63(GROUND FLOOR), JALAN THEATRE, IPOH, 30300 KINTA, PERAK",6012-9699049,08/05/2025,07/05/2028,BeA0125004-0/1
3417,PERAK,MUSTAFAR BIN MD AMIN,"BG 12, KAMPUNG SEBERANG AMPANG, CHANGKAT JERING, 34850 LARUT, MATANG
DAN SELAMA, PERAK","NO.8, HENTIAN BUKIT GANTANG ARAH SELATAN, BUKIT GANTANG, 34850 LARUT,
MATANG DAN SELAMA, PERAK",6013-5010233,08/05/2025,07/05/2028,BeA0425015-0/1
3418,PERAK,SEN KEE FOOD TRADING SDN BHD,"NO.25, JALAN PP 16/4, PERDANA INDUSTRIAL PARK, TAMAN PUTRA PERDANA, PUCHONG, 43170 SEPANG, SELANGOR","LOT G02 & G03, AEON SUPERMARKET, PUSAT PERNIAGAAN MANJUNG POINT 3, SERI MANJUNG, 32040 MANJUNG, PERAK",6012-2567363,08/05/2025,07/05/2028,BeA1024027-0/1
3419,PERAK,"CATER BEST
RESTAURANT","NO 81 PSRN PINGGIR RAPAT 7, TAMAN
SAIKAT, IPOH, 31350 KINTA, PERAK","74 & 74A, JALAN BERCHAM, TAMAN SERI
DERMAWAN, IPOH, 31400 KINTA, PERAK",6012-5108022,08/05/2025,07/05/2028,BeA0724047-0/1
3420,PERAK,DMW GROUP SDN BHD,"NO.720, KG MUHIBBAH, AYER TAWAR, 32400 MANJUNG, PERAK","LOT 16657, LORONG KENANGA, TAMAN SERDANG, SITIAWAN, 32000 MANJUNG,
PERAK",6016-5912784,08/05/2025,07/05/2028,BeA0824011-0/1
3421,PERAK,OLD TOWN KITCHEN CAFE,"NO. 1, JALAN MERU BESTARI A11, MEDAN MERU BESTARI, IPOH, 30020 KINTA, PERAK","NO.1, 1A,1B JALAN MERU BESTARI A11,
MEDAN MERU BESTARI, IPOH, 30020 KINTA, PERAK",6016-5490999,02/05/2025,01/05/2028,BeA0225062-0/1
3422,PERAK,KRG HOLDINGS SDN. BHD.,"A-13-26, KIP CORE SOHO, KOTA WARISAN, SEPANG, 43900 SEPANG, SELANGOR","60(GF) & 60-1, JALAN MERU BISTARI A9, MEDAN MERU BESTARI, IPOH, 30020 KINTA,
PERAK",6012-4477956,02/05/2025,01/05/2028,BeA0225060-0/1
3423,PERAK,NEKMIES RESOURCES,"NO. 7, JALAN CHEPOR MUTIARA 6, TAMAN
CHEPOR MUTIARA, CHEMOR, 31200 KINTA, PERAK","63A, GROUND FLOOR, JALAN MERU BESTARI
A8, BANDAR MERU RAYA, IPOH, 30020 KINTA, PERAK",6017-5132480,02/05/2025,01/05/2028,BeA1224004-0/1
3424,PERAK,"SWEET REGION SDN
BHD","NO 4C, JALAN RAJA CHULAN, KUALA KANGSAR,
33000 KUALA KANGSAR, PERAK","15, JALAN DEWANGSA, BATU GAJAH, 31000
KINTA, PERAK",6016-5495233,02/05/2025,01/05/2028,BeA1124010-0/1
3425,PERAK,HOMIES ENTERPRISE,"LOT 9681 LORONG SEKOLAH RENDAH 6, KAMUNTING BARU TAMBAHAN, KAMUNTING, 34600 LARUT, MATANG DAN SELAMA, PERAK","NO. 6, GERAI STATION FMS, JALAN PEKELILING, TAIPING, 34600 LARUT, MATANG DAN SELAMA, PERAK",6012-4329798,27/03/2025,26/03/2028,BeA0923014-0/1
3426,PERAK,ZAM AYAM GUNTING,"NO 80 KAMPUNG SUNGAI PETAI, CHANGKAT JERING, TAIPING, 34850 LARUT, MATANG DAN
SELAMA, PERAK","STATION FMS, LAMAN TAMAN TASIK, JALAN TAMAN TASIK, TAIPING, 34000 LARUT,
MATANG DAN SELAMA, PERAK",6016-5593641,27/03/2025,26/03/2028,BeA0923017-0/1
3427,PERAK,TEAM SOME SDN BHD,"A-3-7 LALUAN TAMBUN PERDANA 12, IPOH, 31400 KINTA, PERAK","NO 26, HALA RAPAT BARU 21, KAWASAN PERINDUSTRIAN RINGAN KINTA JAYA, IPOH,
31350 KINTA, PERAK",6016-5389179,27/03/2025,26/03/2028,BeA1224012-0/1
3428,PERAK,SETIA AWAN PROPERTIES SDN BHD,"526, LEBUH SIBC BANDAR SERI ISKANDAR, SERI ISKANDAR, 32610 PERAK TENGAH, PERAK","NO.526, LEBUH SIBC, BANDAR SERI ISKANDAR, 32610 PERAK TENGAH, PERAK",6012-6801268,27/03/2025,26/03/2028,BeA1221007-1/1
3429,PERAK,ZAHARAH BINTI HAJI ABD.RAHMAN,"NO. J113, KAMPUNG JELUTONG, CHANGKAT JERING, 34850 LARUT, MATANG DAN SELAMA, PERAK","NO. 10 HENTIAN BUKIT GANTANG, ARAH SELATAN LEBUHRAYA PLUS, TAIPING, CHANGKAT JERING, 34850 LARUT, MATANG
DAN SELAMA, PERAK",6012-5613161,27/03/2025,26/03/2028,BeA0921010-1/1
3430,PERAK,NASI KANDAR BERATUR 786 (TAIPING) SDN. BHD.,"NO.18, TINGKAT KEDIDI 2, TAMAN SEMPADAN MALAYSIA, NIBONG TEBAL, 14300 SEBERANG PERAI SELATAN, PULAU PINANG","NO. 2, OFF JALAN PEKELILING, TAMAN TASIK COMMERCIAL CENTRE (TTCC), TAIPING, 34000 LARUT, MATANG DAN SELAMA, PERAK",6011-59856184,05/03/2025,04/03/2028,BeA1124022-0/1
3431,PERAK,FIZUE ENTERPRISE,"NO.86A KAMPUNG TENGAH, CHT.JERING, TAIPING, 34850 LARUT, MATANG DAN
SELAMA, PERAK","NO.9S, HENTIAN SEBELAH BUKIT GANTANG, CHT.JERING, TAIPING, 34850 LARUT, MATANG
DAN SELAMA, PERAK",6012-5032441,05/03/2025,04/03/2028,BeA0921003-1/1
3432,PERAK,TRINITY PARADISE SDN. BHD.,"LEVEL 1, JETTY COMPLEKS 1, KM 1 MARINA ISLAND, LUMUT, 32200, PERAK","KM 1, JALAN UTAMA MARINA ISLAND, TELUK MUROH, LUMUT, 32200 MANJUNG, PERAK",6018-6605200,04/03/2025,03/03/2028,BeA1222005-0/1
3433,PERAK,YUHA DELIGHT,"NO 1, DESA KASIH KALUMPANG, KERLING, 44100 HULU SELANGOR, SELANGOR","GERAI NO. 10, KAFETERIA KOLEJ UNGKU OMAR, UPSI, TANJUNG MALIM, 35900
MUALLIM, PERAK",6010-3562408,04/03/2025,03/03/2028,BeA1224016-0/1
